,CITY,lat_lngs,latitude,longitude,temp,max_temp,humidity,wind_speed,cloudiness,country,date
0,cidreira,"(-38.60820227543575, -40.597026852468815)",-38.60820227543575,-40.597026852468815,74.12,74.12,75,24.14,0,BR,1581542629
1,oyek,"(53.049070243124504, 104.32120199454687)",53.049070243124504,104.32120199454687,3.2,3.2,84,2.24,75,RU,1581542939
2,codrington,"(24.558050420704944, -45.35258835287536)",24.558050420704944,-45.35258835287536,64.98,64.98,92,20.4,69,AU,1581542919
3,bluff,"(-79.22629010813466, 167.39111688763097)",-79.22629010813466,167.39111688763097,57.99,57.99,92,5.01,89,NZ,1581542874
4,kapaa,"(32.256873150643855, -169.0635027675688)",32.256873150643855,-169.0635027675688,74.8,75.2,73,12.75,75,US,1581542654
6,ushuaia,"(-82.55658291983985, -40.423871130500515)",-82.55658291983985,-40.423871130500515,51.8,51.8,57,25.28,40,AR,1581542703
7,atuona,"(-6.389077435156551, -123.87392345030531)",-6.389077435156551,-123.87392345030531,81.45,81.45,77,16.89,0,PF,1581542861
8,bethel,"(46.214012936975706, -169.10581044027373)",46.214012936975706,-169.10581044027373,42.28,45,35,8.05,1,US,1581542905
9,hermanus,"(-82.5630410221447, -7.650769401773971)",-82.5630410221447,-7.650769401773971,67.77,70,84,10,0,ZA,1581542941
10,upernavik,"(88.05670461158326, -54.51633591957322)",88.05670461158326,-54.51633591957322,-12.14,-12.14,98,1.28,100,GL,1581542624
11,mataura,"(-68.56565728749445, -152.2179290398476)",-68.56565728749445,-152.2179290398476,57.99,57.99,92,5.01,100,NZ,1581542593
12,punta arenas,"(-60.23692659017868, -73.65805744761876)",-60.23692659017868,-73.65805744761876,58.42,59,41,18.34,90,CL,1581542775
13,olivenza,"(38.437290535573084, -7.101903802092551)",38.437290535573084,-7.101903802092551,54.03,55.4,93,5.82,90,ES,1581542941
14,tuktoyaktuk,"(67.99021817500974, -131.02114735663713)",67.99021817500974,-131.02114735663713,-25.6,-25.6,67,8.05,5,CA,1581542889
15,khatanga,"(88.37474431583175, 99.91294461331609)",88.37474431583175,99.91294461331609,-3.37,-3.37,96,9.86,89,RU,1581542647
16,vaini,"(-20.637570519987193, -174.88083814606563)",-20.637570519987193,-174.88083814606563,82.4,82.4,78,10.29,75,TO,1581542942
18,verkhoyansk,"(66.90655245798365, 133.01085937835887)",66.90655245798365,133.01085937835887,-22.25,-22.25,96,2.01,100,RU,1581542942
19,hobart,"(-84.13588762666392, 146.19624859162383)",-84.13588762666392,146.19624859162383,55.65,59,76,9.66,90,AU,1581542625
20,hilo,"(3.0331407232557552, -162.37414120411924)",3.0331407232557552,-162.37414120411924,71.8,80.6,57,9.17,20,US,1581542596
21,havelock,"(32.68583295540181, -71.07322861434672)",32.68583295540181,-71.07322861434672,57.61,61,67,12.75,90,US,1581542943
22,grojdibodu,"(43.78640594482445, 24.293093698019987)",43.78640594482445,24.293093698019987,39.2,39.2,69,9.17,75,RO,1581542943
23,georgetown,"(-6.006768398987319, -19.212946882765408)",-6.006768398987319,-19.212946882765408,77.92,78.8,100,3.36,20,MY,1581542767
24,kruisfontein,"(-69.46446582053508, 26.381282030350803)",-69.46446582053508,26.381282030350803,67.05,67.05,92,4.7,0,ZA,1581542859
